query_id,method,recall_at_5,recall_at_10,mrr_at_10,future_at_5,preferred_source_at_5,top_ids
sp500_max_month,bm25,1.0,1.0,0.5,0.4,0.6,doc-9ee2ea5f048da820e196;doc-9b017b3a9176701c20e3;doc-7a615f4b9e1eab9045ad;doc-50257220a99d049de540;doc-c7ff6a2bebc168601a6c
sp500_max_month,hybrid,1.0,1.0,0.5,0.6,0.6,doc-9ee2ea5f048da820e196;doc-9b017b3a9176701c20e3;doc-7a615f4b9e1eab9045ad;doc-50257220a99d049de540;doc-9949225939a262baf3c3
sp500_max_month,temporal,1.0,1.0,1.0,0.2,0.8,doc-9b017b3a9176701c20e3;doc-9ee2ea5f048da820e196;doc-c7ff6a2bebc168601a6c;doc-3feb97185847b7824232;doc-7a615f4b9e1eab9045ad
sp500_hike_drawdown,bm25,1.0,1.0,1.0,0.4,1.0,doc-0c20cd7b13cc0f9b884a;doc-c1ebf97515d1a8c6d962;doc-8595d759000d45a21cd3;doc-3feb97185847b7824232;doc-9b017b3a9176701c20e3
sp500_hike_drawdown,hybrid,1.0,1.0,0.5,0.6,1.0,doc-9ee2ea5f048da820e196;doc-0c20cd7b13cc0f9b884a;doc-c1ebf97515d1a8c6d962;doc-9b017b3a9176701c20e3;doc-8595d759000d45a21cd3
sp500_hike_drawdown,temporal,1.0,1.0,1.0,0.6,1.0,doc-0c20cd7b13cc0f9b884a;doc-c1ebf97515d1a8c6d962;doc-9b017b3a9176701c20e3;doc-9ee2ea5f048da820e196;doc-8595d759000d45a21cd3
nasdaq_vs_sp500_2024,bm25,1.0,1.0,1.0,0.4,1.0,doc-c7ff6a2bebc168601a6c;doc-9949225939a262baf3c3;doc-3feb97185847b7824232;doc-8595d759000d45a21cd3;doc-9b017b3a9176701c20e3
nasdaq_vs_sp500_2024,hybrid,1.0,1.0,0.5,0.4,1.0,doc-9949225939a262baf3c3;doc-c7ff6a2bebc168601a6c;doc-9b017b3a9176701c20e3;doc-9ee2ea5f048da820e196;doc-3feb97185847b7824232
nasdaq_vs_sp500_2024,temporal,1.0,1.0,1.0,0.4,1.0,doc-c7ff6a2bebc168601a6c;doc-9949225939a262baf3c3;doc-3feb97185847b7824232;doc-4a6c8c922be0ebdc929b;doc-8595d759000d45a21cd3
apple_2024_sales,bm25,1.0,1.0,0.5,0.2,1.0,doc-6fcdcaf5475da579e0eb;doc-94a2ff18c57f5d846f16;doc-b2cf518d35aad872acd8;doc-bf45d8336eefc38297dd;doc-fde5dc2f68a33218c581
apple_2024_sales,hybrid,1.0,1.0,0.5,0.4,0.6,doc-6fcdcaf5475da579e0eb;doc-94a2ff18c57f5d846f16;doc-8916113c20711525cd14;doc-58bffefff2f639089b2b;doc-b2cf518d35aad872acd8
apple_2024_sales,temporal,1.0,1.0,1.0,0.2,1.0,doc-94a2ff18c57f5d846f16;doc-6fcdcaf5475da579e0eb;doc-b2cf518d35aad872acd8;doc-bf45d8336eefc38297dd;doc-d1d7e112429a5b57ab70
us_cpi_dec_2024,bm25,1.0,1.0,0.5,0.4,0.6,doc-50257220a99d049de540;doc-7a615f4b9e1eab9045ad;doc-9ee2ea5f048da820e196;doc-9b017b3a9176701c20e3;doc-8916113c20711525cd14
us_cpi_dec_2024,hybrid,1.0,1.0,0.5,0.4,0.6,doc-50257220a99d049de540;doc-7a615f4b9e1eab9045ad;doc-9ee2ea5f048da820e196;doc-9b017b3a9176701c20e3;doc-8916113c20711525cd14
us_cpi_dec_2024,temporal,1.0,1.0,1.0,0.2,1.0,doc-7a615f4b9e1eab9045ad;doc-50257220a99d049de540;doc-795e50013968c444b849;doc-4c77a0680f393cd80ff8;doc-3a5d910227f934aa5dcc
fomc_sep_2024_cut,bm25,1.0,1.0,0.5,0.4,0.8,doc-7f29a2e70ae12cdf110b;doc-27492fc3b708aace531c;doc-50257220a99d049de540;doc-7a615f4b9e1eab9045ad;doc-c1ebf97515d1a8c6d962
fomc_sep_2024_cut,hybrid,1.0,1.0,0.5,0.4,0.8,doc-7f29a2e70ae12cdf110b;doc-27492fc3b708aace531c;doc-7a615f4b9e1eab9045ad;doc-9b017b3a9176701c20e3;doc-50257220a99d049de540
fomc_sep_2024_cut,temporal,1.0,1.0,1.0,0.2,1.0,doc-27492fc3b708aace531c;doc-7f29a2e70ae12cdf110b;doc-ae782afdcb1533000388;doc-3a5d910227f934aa5dcc;doc-37ca73448c40c80d13ea
china_current_account_2024,bm25,1.0,1.0,0.5,0.4,0.8,doc-58bffefff2f639089b2b;doc-8916113c20711525cd14;doc-50257220a99d049de540;doc-7a615f4b9e1eab9045ad;doc-1ed850320c1ed3c0bc3b
china_current_account_2024,hybrid,1.0,1.0,0.5,0.4,0.6,doc-58bffefff2f639089b2b;doc-8916113c20711525cd14;doc-7a2a7def791588d20096;doc-90f0c87e07e42d1a7779;doc-447b456a63f0b3658614
china_current_account_2024,temporal,1.0,1.0,1.0,0.2,1.0,doc-8916113c20711525cd14;doc-58bffefff2f639089b2b;doc-447b456a63f0b3658614;doc-f1f3e73c1089aeb5cc24;doc-7a615f4b9e1eab9045ad
nvidia_2022_dta,bm25,1.0,1.0,0.5,0.2,1.0,doc-68096eb9d80234e36aa6;doc-a764f24e721b63afd60f;doc-a28fc854f14dd95b142b;doc-4f4fb842ad979465d9c5;doc-bf45d8336eefc38297dd
nvidia_2022_dta,hybrid,1.0,1.0,1.0,0.2,1.0,doc-a764f24e721b63afd60f;doc-68096eb9d80234e36aa6;doc-4f4fb842ad979465d9c5;doc-a28fc854f14dd95b142b;doc-c37c714b244c1b76459f
nvidia_2022_dta,temporal,1.0,1.0,1.0,0.2,1.0,doc-a764f24e721b63afd60f;doc-68096eb9d80234e36aa6;doc-f127be73b6f181998efb;doc-78926951fbcef7ca66ee;doc-41621744d53faa95a2a8
nvidia_2024_split,bm25,1.0,1.0,0.5,0.4,0.6,doc-1c668aa63aa91fc5de54;doc-8bbd759d369bacdec9e0;doc-8916113c20711525cd14;doc-58bffefff2f639089b2b;doc-8696ad14cfd6a6f76e3e
nvidia_2024_split,hybrid,1.0,1.0,0.5,0.4,0.6,doc-1c668aa63aa91fc5de54;doc-8bbd759d369bacdec9e0;doc-8916113c20711525cd14;doc-58bffefff2f639089b2b;doc-c37c714b244c1b76459f
nvidia_2024_split,temporal,1.0,1.0,1.0,0.2,1.0,doc-8bbd759d369bacdec9e0;doc-1c668aa63aa91fc5de54;doc-65c7b479db95728d2f72;doc-016aefff07d8f041f621;doc-c37c714b244c1b76459f
tesla_2024_rd,bm25,1.0,1.0,0.5,0.4,0.6,doc-2c20ea473e63e1ab9ddc;doc-e405cdc6199675f1982b;doc-58bffefff2f639089b2b;doc-8916113c20711525cd14;doc-b2cf518d35aad872acd8
tesla_2024_rd,hybrid,1.0,1.0,0.5,0.4,0.6,doc-2c20ea473e63e1ab9ddc;doc-e405cdc6199675f1982b;doc-58bffefff2f639089b2b;doc-8916113c20711525cd14;doc-8696ad14cfd6a6f76e3e
tesla_2024_rd,temporal,1.0,1.0,1.0,0.2,1.0,doc-e405cdc6199675f1982b;doc-2c20ea473e63e1ab9ddc;doc-94a2ff18c57f5d846f16;doc-d1d7e112429a5b57ab70;doc-b3aea4dd5bcbaaa97b3f
sp500_return_2024,bm25,1.0,1.0,1.0,0.4,1.0,doc-3feb97185847b7824232;doc-8595d759000d45a21cd3;doc-c7ff6a2bebc168601a6c;doc-9949225939a262baf3c3;doc-9b017b3a9176701c20e3
sp500_return_2024,hybrid,1.0,1.0,0.5,0.4,1.0,doc-8595d759000d45a21cd3;doc-3feb97185847b7824232;doc-c7ff6a2bebc168601a6c;doc-9949225939a262baf3c3;doc-9b017b3a9176701c20e3
sp500_return_2024,temporal,1.0,1.0,1.0,0.6,1.0,doc-3feb97185847b7824232;doc-8595d759000d45a21cd3;doc-c7ff6a2bebc168601a6c;doc-9949225939a262baf3c3;doc-9ee2ea5f048da820e196
mmm_2018_capex,bm25,0.0,0.0,0.0,0.4,0.8,doc-8696ad14cfd6a6f76e3e;doc-c37c714b244c1b76459f;doc-bf45d8336eefc38297dd;doc-b2cf518d35aad872acd8;doc-58bffefff2f639089b2b
mmm_2018_capex,hybrid,0.0,0.0,0.0,0.4,0.8,doc-c37c714b244c1b76459f;doc-8696ad14cfd6a6f76e3e;doc-b2cf518d35aad872acd8;doc-bf45d8336eefc38297dd;doc-58bffefff2f639089b2b
mmm_2018_capex,temporal,1.0,1.0,0.25,0.4,1.0,doc-c37c714b244c1b76459f;doc-8696ad14cfd6a6f76e3e;doc-78926951fbcef7ca66ee;doc-4ce1a57484e27ebc3f08;doc-f127be73b6f181998efb
mmm_2018_net_ppe,bm25,1.0,1.0,0.5,0.4,1.0,doc-f127be73b6f181998efb;doc-78926951fbcef7ca66ee;doc-4ce1a57484e27ebc3f08;doc-6256d8fe3d6bebdf0ea9;doc-bf45d8336eefc38297dd
mmm_2018_net_ppe,hybrid,1.0,1.0,1.0,0.6,1.0,doc-78926951fbcef7ca66ee;doc-f127be73b6f181998efb;doc-6256d8fe3d6bebdf0ea9;doc-4ce1a57484e27ebc3f08;doc-a28fc854f14dd95b142b
mmm_2018_net_ppe,temporal,1.0,1.0,1.0,0.4,1.0,doc-78926951fbcef7ca66ee;doc-4ce1a57484e27ebc3f08;doc-f127be73b6f181998efb;doc-6256d8fe3d6bebdf0ea9;doc-1a4403101cce8ea42c1a
adobe_2015_ocf_ratio,bm25,1.0,1.0,0.5,0.4,1.0,doc-d79330608d2e23fb43f4;doc-5a395fcbf5c373a7689a;doc-fa0475dad5fe280af625;doc-bad401660b9965a342a4;doc-bf45d8336eefc38297dd
